time,eua_price
1457395200,5.03
1457481600,5.08
1457568000,4.91
1457654400,4.99
1457913600,4.88
1458000000,4.87
1458086400,4.96
1458172800,5.00
1458259200,4.94
1458518400,4.86
1458604800,4.80
1458691200,4.80
1458777600,4.84
1459209600,4.77
1459296000,4.95
1459382400,5.20
1459468800,5.17
1459728000,5.31
1459814400,5.22
1459900800,5.30
1459987200,5.27
1460073600,5.43
1460332800,5.57
1460419200,5.57
1460505600,5.53
1460592000,5.60
1460678400,5.46
1460937600,5.46
1461024000,5.56
1461110400,5.54
1461196800,5.76
1461283200,5.95
1461542400,5.91
1461628800,6.61
1461715200,6.84
1461801600,6.33
1461888000,6.17
1462147200,6.11
1462233600,5.97
1462320000,6.13
1462406400,6.19
1462492800,5.85
1462752000,5.70
1462838400,5.89
1462924800,5.98
1463011200,5.80
1463097600,5.84
1463356800,6.10
1463443200,6.04
1463529600,6.04
1463616000,5.99
1463702400,5.95
1463961600,5.72
1464048000,5.78
1464134400,5.86
1464220800,6.02
1464307200,6.02
1464566400,6.10
1464652800,6.09
1464739200,5.95
1464825600,6.01
1464912000,5.92
1465171200,6.20
1465257600,6.09
1465344000,6.09
1465430400,6.10
1465516800,5.95
1465776000,5.83
1465862400,5.84
1465948800,5.88
1466035200,5.69
1466121600,5.67
1466380800,5.85
1466467200,5.54
1466553600,5.66
1466640000,5.64
1466726400,4.96
1466985600,4.78
1476662400,5.84
1476748800,5.89
1476921600,5.70
1477008000,5.58
1477267200,5.92
1477353600,5.78
1477526400,5.90
1477612800,5.70
1477872000,5.76
1478131200,6.35
1478217600,6.54
1478476800,6.46
1478563200,6.10
1478736000,5.95
1478822400,5.85
1479081600,5.54
1479168000,5.55
1479340800,5.60
1479427200,5.73
1479686400,5.44
1479772800,5.42
1479945600,5.29
1480032000,5.05
1480291200,4.80
1480377600,4.56
1480550400,4.44
1480636800,4.32
1480896000,4.16
1480982400,4.15
1481155200,4.23
1481241600,4.48
1481500800,4.65
1481587200,4.82
1481760000,4.96
1481846400,4.59
1483920000,5.00
1484006400,5.60
1484179200,5.30
1484265600,5.06
1484524800,4.96
1484611200,4.80
1484784000,4.88
1484870400,5.16
1485129600,5.34
1485216000,5.23
1485388800,4.93
1485475200,5.05
1485734400,4.99
1485820800,5.20
1485993600,5.24
1486080000,5.22
1486339200,5.08
1486425600,5.08
1486598400,5.25
1486684800,5.30
1486944000,5.07
1487030400,4.95
1487203200,4.96
1487289600,4.85
1487548800,5.05
1487635200,5.09
1487808000,5.17
1487894400,5.31
1488153600,5.28
1488240000,5.15
1488412800,5.74
1488499200,5.55
1488758400,5.47
1488844800,5.43
1489017600,5.16
1489104000,5.08
1489363200,5.11
1489449600,5.16
1489622400,5.07
1489708800,5.13
1489968000,5.05
1490054400,4.93
1490227200,4.98
1490313600,4.88
1490572800,4.67
1490659200,4.63
1490745600,4.71
1490832000,4.63
1490918400,4.85
1491177600,4.70
1491264000,4.78
1491436800,4.86
1491523200,5.06
1491782400,4.84
1491868800,4.77
1491955200,4.84
1492041600,4.93
1492473600,4.85
1492646400,4.76
1492732800,4.73
1492992000,4.70
1493078400,4.62
1493164800,4.49
1493251200,4.57
1493337600,4.52
1493683200,4.48
1493856000,4.35
1493942400,4.52
1494201600,4.45
1494288000,4.37
1494374400,4.49
1494460800,4.37
1494547200,4.26
1494806400,4.41
1494892800,4.45
1495065600,4.68
1495152000,4.77
1495411200,4.87
1495497600,4.88
1495584000,4.81
1496102400,5.10
1496275200,5.05
1496361600,5.07
1496707200,5.16
1496793600,4.97
1496880000,4.96
1496966400,4.98
1497225600,5.03
1497312000,4.99
1497830400,4.84
1497916800,4.99
1498003200,4.95
1498089600,4.81
1498176000,4.87
1498435200,4.84
1498521600,4.80
1498694400,5.05
1498780800,5.02
1499040000,4.98
1499126400,5.06
1499212800,5.10
1499299200,5.07
1499385600,5.24
1499644800,5.50
1499731200,5.37
1499904000,5.46
1499990400,5.27
1500249600,5.40
1500336000,5.46
1500422400,5.39
1500508800,5.35
1500595200,5.23
1500854400,5.04
1500940800,5.12
1501113600,5.20
1501200000,5.06
1501459200,5.23
1501545600,5.60
1501632000,5.29
1501718400,5.38
1501804800,5.33
1502064000,5.24
1502150400,5.26
1502323200,5.40
1502409600,5.35
1502668800,5.41
1502841600,5.62
1502928000,5.90
1503014400,5.80
1503273600,5.81
1503360000,5.75
1503532800,5.98
1503619200,5.93
1503964800,6.07
1504051200,6.02
1504137600,5.91
1504224000,5.88
1504483200,5.80
1504569600,6.04
1504828800,6.90
1505088000,6.80
1505174400,6.65
1505260800,6.95
1505347200,7.42
1505433600,6.96
1505692800,6.85
1505779200,6.95
1505952000,6.68
1506038400,6.50
1506297600,6.80
1506384000,6.97
1506470400,6.75
1506556800,6.83
1506643200,7.09
1506902400,7.00
1507161600,6.92
1507248000,6.77
1507507200,6.92
1507593600,6.90
1507680000,7.40
1507766400,7.37
1507852800,7.30
1508112000,7.25
1508198400,7.45
1508371200,7.86
1508457600,7.56
1508716800,7.43
1508803200,7.41
1508889600,7.41
1508976000,7.46
1509062400,7.25
1509321600,7.15
1509408000,7.11
1509580800,7.52
1509926400,7.91
1510012800,7.89
1510099200,7.62
1510185600,7.79
1510272000,7.35
1510531200,7.26
1510617600,7.26
1510790400,7.68
1510876800,7.43
1511136000,7.32
1511222400,7.51
1511308800,7.46
1511395200,7.37
1511481600,7.70
1511740800,7.69
1511827200,7.59
1512000000,7.60
1512086400,7.50
1512345600,7.63
1512432000,7.49
1512518400,7.38
1512604800,7.23
1512691200,7.24
1512950400,7.10
1513036800,7.37
1513209600,6.96
1513296000,7.07
1515369600,7.83
1515456000,7.68
1515628800,7.89
1515715200,7.79
1515974400,7.72
1516060800,7.77
1516147200,7.99
1516233600,8.26
1516320000,8.60
1516579200,8.70
1516665600,8.88
1516838400,9.34
1516924800,9.02
1517184000,9.06
1517270400,8.86
1517356800,8.78
1517443200,9.37
1517529600,9.04
1517788800,8.66
1517875200,8.84
1518048000,8.93
1518134400,8.97
1518393600,9.08
1518480000,9.53
1518566400,9.88
1518652800,9.64
1518739200,9.53
1518998400,9.58
1519084800,9.70
1519257600,9.56
1519344000,9.68
1519603200,9.56
1519689600,9.54
1519776000,9.99
1519862400,9.92
1519948800,9.89
1520208000,10.05
1520294400,10.28
1520467200,10.77
1520553600,11.10
1520812800,11.32
1520899200,11.03
1520985600,11.25
1521072000,11.09
1521158400,10.97
1521417600,10.96
1521504000,11.17
1521676800,12.54
1521763200,12.37
1522022400,12.80
1522108800,13.26
1522195200,14.05
1522713600,12.90
1522886400,12.65
1522972800,12.68
1523232000,12.96
1523318400,13.10
1523404800,13.55
1523491200,13.15
1523577600,13.80
1523836800,13.84
1523923200,13.82
1524096000,13.99
1524182400,13.05
1524441600,12.75
1524528000,12.73
1524614400,13.09
1524700800,13.39
1524787200,13.28
1525046400,13.35
1525305600,12.77
1525392000,12.78
1525737600,13.51
1525824000,13.92
1526256000,14.20
1526342400,14.70
